sha,first_parent_index,date,author,is_merge,status,areas,files,insertions,deletions,subject,action
f88c80ee1363f7620c4f5af0339bad0a08e4c22e,,2025-02-11T16:10:45+01:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,11,7,Fix MSYS2 CI,accounted (mechanical default)
7824bb9f16e4d98ccacce2952e9aedbac57c5013,,2025-02-11T16:26:17Z,sf-mensch,0,CONFIGURATION_INTEGRATED,build;docs,2,40,8,configure cleanup,None: configure cleanup is native build infra
c265f251f14fe3c7e19bc96a49a318fa52d622a6,,2025-02-11T15:35:10Z,ddeclerck,0,CONFIGURATION_INTEGRATED,build;docs,2,7,0,Fix configure.ac for Clang * configure.ac: add -Wno-unused-command-line-argument to CFLAGS under Clang  to prevent some features to be mistakenly detected as missing (in particular -Wno-pointer-sign and -fstack-clash-protection),None: configure.ac Clang flag is native build infra
3fb682569d9e1c69eba2a577d0a4e78bffb877ec,41,2025-01-28T12:13:32+01:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,1,0,Fix MacOS CI,accounted (mechanical default)
6698c4bf0e946ad827310d6e15f01fab95f0f918,42,2025-01-19T21:48:16+01:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,4,1,Fix Ubuntu CI (Coverage),accounted (mechanical default)
beeace4cded313a1404dbd58ce83f00a753bb866,43,2025-01-13T23:33:14+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;config;docs;tests,9,81,18,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
23b5446c13ed379d4928b051c0fa576a2d72b67c,,2025-01-13T14:03:35Z,ddeclerck,0,NOT_APPLICABLE_WITH_PROOF,cobc,1,4,4,Fix bad typeck.c indentation introduced by [r5112],None: indentation-only fix in C typeck.c
87500ead47bd937ee0388619be4aa1dc51245e1b,,2025-01-10T16:57:32Z,sf-mensch,0,FRONTEND_REIMPLEMENTED,cobc;config;tests,5,68,13,fixed [bugs:#961]: Nested Elements Mishandled Despite 'with attributes' Specification,Fix nested-element handling with the 'with attributes' specification (SCREEN SECTION data-name qualification)
a2e4627e6a485aaf61a42f1e68052b6a26d5770f,,2025-01-10T15:28:51Z,ddeclerck,0,CONFIGURATION_INTEGRATED,config,2,6,2,[GCOS dialect] Set init-justify to no * config/gcos-strict.conf: set init-justify to no after testing on GCOS,Adopt init-justify=no for the GCOS-strict dialect (applied by the gcos-strict.conf custody refresh)
2f58e5ff7c5ab744ca464118e2f1fca21534cc7b,,2025-01-09T16:39:56Z,ddeclerck,0,DOCUMENTATION_TRACKED,docs,2,6,2,Fix documentation generation * doc/cbrunt.tex.gen: fix for missing '@end verbatim',accounted (mechanical default)
731b81a327fe7108ca28d024a5ca13c9457dbcdc,44,2025-01-07T11:39:37+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,3,72,5,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
47ec5f5134164948f766106f6e3fc9934e36a2fd,,2025-01-06T13:21:16Z,ddeclerck,0,NOT_APPLICABLE_WITH_PROOF,libcob;tests,3,72,5,Improve handling of partial keys * libcob/fileio.c (indexed_start_internal): improve handling of partial keys  to ensure BDB always compares keys of identical length,None: BDB indexed partial-key comparison
c4fbcc3050ad75de0b4736483cb1e3bb6c342971,45,2025-01-03T11:48:12+01:00,Fabrice Le Fessant,1,UPSTREAM_MERGE_ACCOUNTED,libcob,2,57,14,Merge branch 'gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
ff8f8953be8433cf3a02e95e452a04b059a0c517,,2024-12-31T07:57:44Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,libcob,2,57,14,follow-up to r5369 - panel update,Track only: PANEL functions depend on the native curses backend
3f34a2461a6a8677334c5691ea0b79a69ee4ac6e,46,2024-12-30T11:05:30+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,3,38,2,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
8cec9fdb89c0c4d5caf83439df3c320b06cad2c5,,2024-12-24T11:17:37Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,3,38,2,Improve display of floats * libcob/termio.c (clean_double): skip more than a single leading zero in exponent display,Float display: skip more than a single leading zero in exponent digits (candidate float formatting)
5086fdf05e340593eaeb30623b75d033ede69ecb,47,2024-12-20T17:33:38+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,2,51,18,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
921108ea29fcc55ceaa60f98179cfec9f30f57e5,,2024-12-20T15:44:14Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,2,51,18,follow-up commit to r5403 - fix an out of bounds read access in optimized_move_display_to_edited,Fix out-of-bounds read in optimized move DISPLAY->edited (candidate edited move bounds)
afb68b34db69c6e4f9e1ad4985a3e37d13738815,48,2024-12-19T17:47:33+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,6,439,56,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
cb5fe73262cf9b32852ad0aaa7ecaa349529e5d1,,2024-12-19T16:36:13Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,3,113,6,Fix STRING/UNSTRING/INSPECT bug introduced in r5302 * libcob/string.c: fix a bug where the source of STRING/UNSTRING/INSPECT is overwritten  by restoring the *_copy fields that were removed with the change on 2024-02-26,Fix STRING/UNSTRING/INSPECT source-overwrite bug (source fields must not be clobbered mid-operation)
44c96d20a12e96e0802163fdb9a2d05bb41df578,,2024-12-17T15:36:39Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,5,326,50,Fix BLANK WHEN ZERO not working on signed NUMERIC-EDITED fields libcob: * move.c (optimized_move_display_to_edited): normalize numeric data * move.c (cob_move): extend use of optimized_move_display_to_edited to more cases (i.e. different source and destination sign  leading sign  non-separate sign) * move.c (optimized_move_display_to_edited): fixed additional bug reported with bug #1008: BLANK WHEN ZERO not working on signed NUMERIC-EDITED fields,BLANK WHEN ZERO on signed NUMERIC-EDITED fields: normalize numeric data in edited move; extend edited-move to sign variants
47501705ee0203b3fa1512e39930ce4348c58610,49,2024-12-16T14:24:14+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,3,105,3,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
1c357b4a3894bd09940a01c7ee7e0a5ad90ceeb8,,2024-12-12T16:19:57Z,ddeclerck,0,NOT_APPLICABLE_WITH_PROOF,libcob;tests,3,105,3,Fixed [bugs:1032]: app_data field of DBT structure is not always copied when call bdb_bt_compare * libcob/fileio.c: fixed Bug #1032 by always using global thread-static variable bdb_app_data pointer to access the collating sequence function,None: BDB DBT app_data fix
d5abb19870d0207be58564c4da11e88b954a9de7,50,2024-12-10T08:58:38+01:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,1,1,0,Merge pull request #202 from OCamlPro/GitMensch-patch-1,accounted (mechanical default)
06d814688dbc4684cd4688ce4d440b8e4699e8c3,,2024-12-10T08:40:58+01:00,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,1,0,Update macos.yml,accounted (mechanical default)
129abba07f9c65039de7d90aa277b33b07c5163a,51,2024-12-09T11:10:32+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;cobc;docs;libcob;tests,7,129,19,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
b162a03c3d9446b6c549b7c571fdc4f2272b0434,,2024-12-08T17:00:11Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,cobc;tests,3,7,2,minor update for sanitizers,None: sanitizer-related minor C adjustments
dca86ab692a474a1e77c801119dcf42e3c9c207e,,2024-12-08T14:35:15Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,libcob,2,15,10,follow-up to r5369 - panel update (portability fix),Track only: PANEL portability fix (curses)
dda41815fe1fe00f0c58c6ab348f9ff94546017d,,2024-12-08T12:08:41Z,sf-mensch,0,CONFIGURATION_INTEGRATED,build,1,6,6,fix copy+paste error in r5389,None: configure.ac copy+paste fix is native build infra
7bddf706da7a96a5382c7523117ef792e1774490,,2024-12-08T12:08:22Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,libcob,1,1,1,fix copy+paste error in r5389,None: whitespace-only correction
c2ee239a5209c0a99d5fae8b76ad86d4c7225103,,2024-12-08T11:58:27Z,sf-mensch,0,CONFIGURATION_INTEGRATED,build;docs,2,106,6,follow-up to r5369 - panel update,None: configure.ac follow-up is native build infra
1be8d3f3493cd331e8e92f32149571b6c853ea82,52,2024-12-06T15:22:21+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;build_windows;cobc;docs;libcob;other;tests,23,1726,133,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
87c1dd5799ff72425b6ede1efa3b2a789610e2a2,,2024-12-02T09:23:03Z,ddeclerck,0,RUNTIME_PORTED,libcob;tests,4,205,42,Fixed [bugs:#1008] regression in move to numeric edited items * move.c (optimized_move_display_to_edited): fixed Bug #1008: regression in move to numeric edited items with insertion symbols B  0 and / * move.c (optimized_move_display_to_edited): minor refactoring * exception.def  move.c: added definition for COBOL2025 COB_EC_DATA_NULL + COB_EC_DATA_TRUNCATION (currently not used),Fix move-to-edited regression with insertion symbols B  0 and /; register COBOL2025 COB_EC_DATA_NULL and COB_EC_DATA_TRUNCATION exception definitions
16e84a584d7edf41100db524ab9bb7e195d2004c,53,2024-11-24T17:14:57+01:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,1,1,Fix macOS CI,accounted (mechanical default)
04916dd9371e476d1687a1b5ee56d8c1b0fd8f12,54,2024-11-22T10:09:26+01:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,3,155,0,Merge branch 'gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
d5eb0eb02335042b507d69f86d48ed6cd79346a4,,2024-11-19T21:38:57Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,build;docs;libcob,3,19,15,follow-up to r5369 - panel update,Track only: PANEL update (curses)
a51ca02a68d5adedead306dfada270ff85582a0f,,2024-11-19T20:13:51Z,sf-mensch,0,CONFIGURATION_INTEGRATED,docs;other,2,104,85,follow-up to r5371 - panel update (refactoring),Adopt the copy/gcwindow.cpy copybook asset (WINDOW screen support) into the candidate copybook tree; THANKS is prose
45ce8f622930f34306f64839dd397b9c4c4a0c00,,2024-11-19T13:46:05Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,libcob;tests,6,377,338,follow-up to r5369 - panel update,Track only: PANEL update + tests (curses)
0bf2ceb38ea46378e45ea0c865ef75c0374d94d6,,2024-11-18T23:37:46Z,sf-mensch,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,libcob;other;tests,6,4344,4479,follow-up to r5369 - panel update,Track only: PANEL update + tests (curses)
2a53351eae5a6c53f5408a2594d651fe3d47cdb2,,2024-11-18T22:14:48Z,chaat,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,build;build_windows;cobc;docs;libcob;other;tests,16,5325,3890,Add PANEL functions from CURSES,Track only: PANEL functions from CURSES (native curses/panel dependency)
a6c4f2440452661e69004da5178196e835f387b9,,2024-11-18T14:57:51Z,ddeclerck,0,BLOCKED_BY_NATIVE_ARTIFACT_BOUNDARY,libcob;tests,2,71,3,Add XML/JSON GENERATE tests for PIC P,Track tests: XML/JSON GENERATE tests for PIC P depend on the native XML/JSON backend
3edbc6d1f70b0a642c07d056d3ecc2c215731665,55,2024-10-31T12:43:32+01:00,Simon Sobisch,0,NOT_APPLICABLE_WITH_PROOF,other,1,3,3,Update .gitpod.yml,None: developer-tooling config (.gitpod.yml)
ac862070c3e821e6c451e3f08e70882a17d271b4,,2024-10-24T06:08:36Z,chaat,0,RUNTIME_PORTED,libcob;tests,3,155,0,fixed [bugs:#999] ACCEPT with TIMEOUT issue when looping thru the verb,Fix ACCEPT with TIMEOUT looping through the verb (candidate ACCEPT TIMEOUT semantics)
0cc8207d14de2633fb80ebd790dc929e4be76f13,56,2024-10-11T19:43:32Z,sf-mensch,0,TEST_IMPORTED,tests,1,1,1,follow-up to r5356 - fixed skip via atlocal_win,Adopted by the current-upstream suite lane (skip via atlocal_win)
190139b8baee6e0d08f69ef57dc9c303e7d8a47c,,2024-10-11T19:43:32Z,sf-mensch,0,TEST_IMPORTED,tests,1,1,1,follow-up to r5356 - fixed skip via atlocal_win,Adopted by the current-upstream suite lane (skip via atlocal_win)
68b82c88f548d4a9aa9fcd9a3df15e4cf3884e73,57,2024-10-11T17:12:55+02:00,Fabrice Le Fessant,1,UPSTREAM_MERGE_ACCOUNTED,bin;build;build_windows;cobc;docs;libcob;tests,29,785,350,Merge branch 'gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
b583a357302ad882fd2ac6565f823d9750b46e37,,2024-10-08T23:37:24Z,sf-mensch,0,HARNESS_ADOPTED,build;build_windows;tests,11,49,23,build and test updates,Adopt the build-and-test updates relevant to the candidate harness
a23f0dc875f6adc6298b051334d29871cd7263d8,58,2024-10-07T13:25:36+02:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,6,921,672,Merge pull request #189 from OCamlPro/ci-update,accounted (mechanical default)
7d4a2fd772a6dc6e8de09bf3aeed02d1081c550d,,2024-10-07T09:55:44Z,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,6,921,672,ci adjustments,accounted (mechanical default)
83ec07716d30732e050c0b6b96ecf5b462045e21,,2024-10-04T18:42:50Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,libcob,1,1,1,portability fix for last commits,None: const-correctness C fix
ef11be499f4c6f2a3f6907443d54590e1db6f659,,2024-10-04T15:53:21Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,libcob,2,0,2,fix previous commit,None: duplicate include removal
ca09f172185ffbfa821a01030c9a873e26d8dff1,,2024-10-04T15:38:31Z,sf-mensch,0,TEST_IMPORTED,tests,4,85,63,minor testuite update,Adopted by the current-upstream suite lane (minor testsuite update)
3f897122aacdd6610c14117b28442013a4574cde,,2024-10-04T15:32:44Z,sf-mensch,0,RUNTIME_PORTED,libcob,4,275,200,signal and stack handling update,Signal and stack handling update: align candidate signal-registration and stack-guard behavior with upstream semantics
929b403b68ffedce147598f57eff79dc02590d6f,,2024-10-03T00:08:33Z,sf-mensch,0,PLATFORM_BEHAVIOR_INTEGRATED,build_windows,1,9,0,fix [r5349] missing PKGVERSION for build_windows,None: build_windows PKGVERSION fix is Windows-only
c53ae5f803518dc7a0e1e88ee08ac060e423ca1b,,2024-10-02T23:21:53Z,sf-mensch,0,RUNTIME_PORTED,cobc;libcob;tests,5,182,31,signal handler updates,Signal handler updates: port the handler registration/behavior semantics
88937849b8607f9f9b20a605d7f2bf65e9ed7427,,2024-10-02T23:08:13Z,sf-mensch,0,CONFIGURATION_INTEGRATED,bin;build;cobc;docs;libcob,10,170,63,new options for configure for customized version string / bug report URL,Adopt configurable version string / bug-report URL surfaces where the candidate exposes equivalents
3f7c44b6f51605eda7da480388f8ae2efdd92811,,2024-10-02T22:31:52Z,sf-mensch,0,WRAPPER_INTEGRATED,cobc;tests,4,38,8,improve stdin compilation,Improve stdin compilation: cobc-rs must compile from stdin with the documented naming/artifact behavior
710f053fbd7c65a3e8cfa051f8a2fdb92ebeeec8,,2024-10-02T22:26:37Z,sf-mensch,0,TEST_IMPORTED,tests,3,23,6,testsuite update for special cases,Adopted by the current-upstream suite lane (special-cases test updates)
799c61376739bc99f48ddae5f03503e028292f29,59,2024-10-02T17:05:23+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;tests,6,247,19,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
9b0259d78f87e479887f617206a002636c8e57cb,,2024-10-01T09:00:58Z,nberth,0,NOT_APPLICABLE_WITH_PROOF,cobc;tests,6,247,19,Support collating sequence for indexed file keys of alphanumeric class,None: collating sequence for indexed file keys of alphanumeric class (indexed backend)
61ffca26726ae77469d31c7057abb575940d6048,60,2024-09-30T09:49:42+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,build;build_windows;cobc;docs;libcob;m4;other;tests,36,1865,1054,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
49da19a3dfc05fa7beaed1ac9c1d08a16ee7dd61,,2024-09-30T07:38:18Z,ddeclerck,0,WRAPPER_INTEGRATED,cobc;docs;tests,10,538,83,Add dependencies options and -fcopybook-deps cobc: * pplex.l (cb_text_list): prevent duplicates * cobc.c  help.c  pplex.l: add new flags to output dependencies following gcc: -M to output deps only  -MD to output deps while compiling (in .d files)  -MP to output phony targets  -MG to keep missing copybooks  -MQ <target> to Makefile-quote target ; add -fcopybook-deps to output only copybook names instead of file paths. -fcopybook-deps also forces -E  -foneline-deps  -MT=copybooks  disables errors on missing copybooks and removes output on stdout doc: * gnucobol.texi: document new dependencies options,Implement -M/-MD/-MP/-MG/-MQ dependency options + -fcopybook-deps (copybook-only deps  forces -E -foneline-deps -MT=copybooks  disables missing-copybook errors)
a3e00bed1f21ce0f66315039be08c629574c9184,,2024-09-29T19:12:59Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,libcob,1,1,1,fix bad line in [r5343],None: C preprocessor conditional fix (#elif)
903ba84ff9db736109d025159ee368c6e47ddb99,,2024-09-29T18:26:16Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,build;build_windows;cobc;docs;libcob;tests,17,145,97,assorted updates,Verify in Phase 2: mixed C cleanup/updates (cobc  libcob  build  tests) without a single identified candidate-visible behavior; no known semantic delta
10daa94c89368eac5c84c8ce68d29ecbe0dc5188,,2024-09-27T20:25:28Z,sf-mensch,0,NOT_APPLICABLE_WITH_PROOF,build;cobc;docs;m4;other,12,1102,847,build system update,None: libtool/autotools build system update
7b3047cb2616c6be935be3293e9bfeb377d10a13,,2024-09-27T20:14:07Z,sf-mensch,0,HARNESS_ADOPTED,docs;other;tests,6,85,32,updaste for NIST85,Adopt the NIST85 run-definition updates in the candidate NIST85 harness
482206f49af4fe8db9b23c97385fcb27283edc44,61,2024-09-27T21:33:09+02:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,1,97,13,Merge pull request #184 from OCamlPro/ci-minimal-build,accounted (mechanical default)
e3283da760178d18ba30fde5fccaeda057b1682d,,2024-09-27T12:20:25Z,Simon Sobisch,0,CI_ONLY_ACCOUNTED,ci,1,97,13,CI: adding minimal build,accounted (mechanical default)
f5989ba77c79b1f9c55f378ff713f376098446f2,62,2024-09-26T12:15:10+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;docs;libcob;tests,6,246,144,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
1104bda61e191efb343ba4fa13b71e484bf8b24f,,2024-09-25T19:10:31Z,nberth,0,FRONTEND_REIMPLEMENTED,cobc;docs;tests,4,81,9,Check for incompatible data only when a receiver is of category numeric in MOVE or SET,Check for incompatible data in MOVE or SET only when the receiver is of category numeric
7ba5f9fcb116490a2fbe3e5c2afb9100a3e92c18,,2024-09-23T19:00:14Z,chaat,0,RUNTIME_PORTED,libcob,2,165,135,preparation for Multiple Window support by WINDOW pointer,WINDOW pointer preparation: adopt the screenio WINDOW handling model where the candidate screen layer can represent it
2c000f51a11e45a7e25c28eb795437e24587c0d1,63,2024-09-22T14:18:30+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,3,3,0,Update Windows workflows (upload testsuite.log on failure),accounted (mechanical default)
e807aed2c9c9994b3dfd8aff50dab80429ccf410,64,2024-09-22T14:15:58+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,libcob;tests,3,78,7,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
7b09c750ff7d354f0637678a6c1db425650d8359,,2024-09-20T21:39:45Z,chaat,0,RUNTIME_PORTED,libcob;tests,3,78,7,Fix [bugs:#990] COBOL screen  problem positioning cursor on line 1,Fix cursor positioning on line 1 (COBOL screen)
015735daa9c5e410f594fe97cbfad42a4bed9518,65,2024-09-20T10:24:22+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;config;tests,4,80,1,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
111d21f03445f7d6db0e5cfc93e5f49e9fa584ce,,2024-09-20T07:10:52Z,ddeclerck,0,TEST_IMPORTED,cobc;config;tests,4,80,1,Minor adjustments (testsuite  ChangeLog entries  C89),Adopted by the current-upstream suite lane (syn_definition.at updates); the pplex/scanner changes are C89-internal
f36f1506a16dc387dbb518806aa78f035454c549,66,2024-09-19T13:56:47+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,bin;build;docs;other;tests,20,1471,612,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
cd346a66aab8791abd8bc821b9cd4e5c248bd7a8,,2024-09-18T11:13:05Z,sf-mensch,0,DOCUMENTATION_TRACKED,docs;other,4,16,12,minor doc changes,Track only: gnucobol.texi updates
a234462ff94b5f5feff62f87d2f097b1e7688a69,,2024-09-13T21:13:03Z,sf-mensch,0,TEST_IMPORTED,tests,3,77,35,testsuite environment update,Adopted by the current-upstream suite lane (testsuite environment update)
97668518028eda1174b2235cbe5c22d61fe9cf8a,,2024-09-09T12:37:21Z,sf-mensch,0,HARNESS_ADOPTED,docs;tests,6,171,32,work on 'make checkmanual',Adopt checkmanual workflow improvements in the candidate doc harness
9744112d55609a6f9ac5992c49a4716db3200a29,,2024-09-07T11:30:35Z,sf-mensch,0,CONFIGURATION_INTEGRATED,build;other,7,1203,533,build system update,None: autotools build system update
42d9e7de0eb8c898cb0e4f13d6cef81319667c33,,2024-09-06T08:53:40Z,ddeclerck,0,NOT_APPLICABLE_WITH_PROOF,bin,1,4,0,missing changelog entry for [r4915],None: ChangeLog-only commit
fe28973b030f13b34c52d36df6b928069de21f98,67,2024-08-28T21:45:52+02:00,Simon Sobisch,1,UPSTREAM_MERGE_ACCOUNTED,ci,5,172,154,Merge pull request #170 from nberth/ci-adjustments-4-gcos4gnucobol-3.x,accounted (mechanical default)
e31b1ad2059a1f8b1b0c36d528ca1ef50d9ca176,,2024-08-28T15:14:39+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,10,3,Tar MSYS2 distribution archive to avoid EMFILE error,accounted (mechanical default)
c566c4abc0f46ceec1d19eb088baf0d1765bd2ce,,2024-08-28T13:21:39+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,3,11,0,Cache `newcob.val` in Windows MSYS2 workflow as well,accounted (mechanical default)
77522f50e0abb625ed2cca85c7a054786e14d888,,2024-08-28T12:02:11+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,0,1,Run testsuite even on Debug target in Windows MSVC CI,accounted (mechanical default)
d4ea52e5afb03c68281d9ce6419be62cf78bc7d3,,2024-08-28T08:46:14+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,2,10,40,Cache `newcob.val` instead of an archive,accounted (mechanical default)
e14cfcae03c249650a3ba2ce7a24ded1f9ef2c91,,2024-08-27T12:00:16+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,12,10,Fix lookup of `newcob.val` in MacOS workflow,accounted (mechanical default)
34d0bd4b354ffde3b12bd114044b6ca32bb878fe,,2024-08-27T11:51:17+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,71,32,Various improvements in Warnings and Coverage workflow,accounted (mechanical default)
5be2d04b849265806d602fb2a2d4acefdfe402df,,2024-08-27T11:50:47+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,5,2,Stop using `-pedantic` flag in Coverage and Warnings workflow,accounted (mechanical default)
fed0e25ca1f968c0d78effdd8e1b3e53959016fb,,2024-08-27T09:23:07+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,5,4,Further adjustments to the CI for MacOS,accounted (mechanical default)
d45913dd76da5d3307e9bbc6fbe7bfababf210b6,,2024-08-26T11:04:59+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,3,3,2,Enforce a 45 minutes timeout on Windows CI workflows,accounted (mechanical default)
803826741663820d5785570c828f1fd1a2165792,,2024-08-21T16:40:49+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,5,43,59,Further CI adjustments,accounted (mechanical default)
c1665fc6e603e4117bbc52a28dc93457284668ce,,2024-08-23T10:30:16+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,1,0,Adjust MSVC workflow now that error popups are disabled by default,accounted (mechanical default)
dfb0c9c82f96ee8d95228fd84c5490100286e80a,,2024-08-20T09:07:58+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,1,17,19,Swap install and tests in CI for Windows MSYS2,accounted (mechanical default)
d9ef15191468f765997b3151ec2f3730c155fd2d,,2024-08-20T09:04:33+02:00,Nicolas Berthier,0,CI_ONLY_ACCOUNTED,ci,2,45,43,Upgrade versions of github actions used in CI,accounted (mechanical default)
d3c4e188dd30ab0e20af0d15d5c72cf26e4daa4f,68,2024-08-28T11:54:02+02:00,David Declerck,0,CI_ONLY_ACCOUNTED,ci,1,7,41,Update MSVC CI,accounted (mechanical default)
0226a4e160d3c256683f17f8c00d475e7a4323bd,69,2024-08-28T10:42:29+02:00,David Declerck,1,UPSTREAM_MERGE_ACCOUNTED,cobc;libcob;tests,6,64,46,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
5a8666888fada0fdbbc904269ef809629fd93fbb,,2024-08-28T08:31:07Z,ddeclerck,0,FRONTEND_REIMPLEMENTED,cobc;libcob;tests,6,64,46,Fix bugs reported by the MSVC runtime checker cobc: * tree.c (char_to_precedence_idx  get_char_type_description  valid_char_order): adjusted size of precedence table and gave proper precedence to U libcob: * intrinsics.c (cob_intr_random)  move.c (cob_move_display_to_packed): make casts with loss of data explicit using masking to silence the MSVC runtime error checker,Give 'U' proper precedence in the expression precedence table (parser); port masking fixes in random/packed move where the candidate has equivalent numeric paths
f13eede92da65e6a36bb94537d2a4e1f7a68f7ea,70,2024-08-28T09:19:33+02:00,Nicolas Berthier,1,UPSTREAM_MERGE_ACCOUNTED,tests,2,11,5,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
808c9be88a5066b2c9a9b3eb9e7d904ee797a187,,2024-08-27T21:21:41Z,nberth,0,HARNESS_ADOPTED,tests,2,11,5,Retrieve archive of NIST test suite from sourceforge instead of from an out-dated URL,Adopt the current NIST archive URL in the candidate NIST harness
d0ef5aa6e12449b9c216f39b4e87edbdcdfd7e3b,71,2024-08-23T10:05:10+02:00,Nicolas Berthier,1,UPSTREAM_MERGE_ACCOUNTED,libcob,1,0,1,Merge remote-tracking branch 'upstream/gnucobol-3.x' into gcos4gnucobol-3.x,accounted (mechanical default)
